title,authors,average_rating,ratings_count,num_pages,cluster_label
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,2095690,652,Blockbusters
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,2153167,870,Blockbusters
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,6333,352,Hidden Gems
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,2339585,435,Blockbusters
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,41428,2690,Hidden Gems
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,19,152,Mainstream Middles
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,28242,3342,Hidden Gems
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,3628,815,Hidden Gems
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,249558,815,Hidden Gems
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,4930,215,Hidden Gems
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,1266,6,Hidden Gems
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,2877,815,Hidden Gems
A Short History of Nearly Everything,Bill Bryson,4.21,248558,544,Hidden Gems
Bill Bryson's African Diary,Bill Bryson,3.44,7270,55,Underperformers
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,2088,256,Mainstream Middles
In a Sunburned Country,Bill Bryson,4.07,72451,335,Mainstream Middles
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,49240,304,Mainstream Middles
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,45712,299,Mainstream Middles
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,48701,254,Mainstream Middles
Notes from a Small Island,Bill Bryson,3.91,80609,324,Mainstream Middles
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,28489,270,Mainstream Middles
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,101233,1728,Hidden Gems
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,1710,1184,Hidden Gems
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,2128944,398,Blockbusters
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,1618,1216,Hidden Gems
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,19822,218,Hidden Gems
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,359,224,Hidden Gems
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,1430,558,Mainstream Middles
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,270244,208,Mainstream Middles
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,36,48,Mainstream Middles
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,2067,144,Mainstream Middles
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,6,56,Hidden Gems
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,99,228,Underperformers
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,167,304,Mainstream Middles
Changeling (Changeling  #1),Delia Sherman,3.6,978,256,Underperformers
The Changeling Sea,Patricia A. McKillip,4.06,4454,137,Mainstream Middles
The Changeling,Zilpha Keatley Snyder,4.17,1176,228,Hidden Gems
The Changeling,Kate Horsley,3.55,301,339,Underperformers
